"Warangal","India","Shantiniketan High School","18.000","79.583","2005-03-20","100","32.5","18","18.004"
"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2005-03-20","","","35.52",""
"Port Lincoln","Australia","Port Lincoln Primary School","-34.733","135.867","2005-03-18","100","-66","32.583333333333","33.425"
"Jakarta","Indonesia","Sekolah Alam School","-6.333","106.817","2005-03-25","100","14","6.0333333333333","7.97"
"Duluth","Georgia USA","Charles Brant Chesney Elementary","33.983","-84.150","2005-03-24","","","34.605",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2005-05-09","100","63.5","32.4","32.416"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-05-09","100","50.0","26.55","26.565"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-05-19","100","45.0","24.216666666667","24.228"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-05-20","100","44.5","23.983333333333","23.989"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-05-31","100","40.5","22.033333333333","22.048"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-06-02","100","40.0","21.8","21.801"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-06-09","100","38.5","21.05","21.057"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-06-10","100","38.5","21.05","21.057"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-06-17","100","38.0","20.8","20.807"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2005-06-21","100","37.7","20.65","20.656"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-02-06","100","171","59.666666666667","59.681"
"Trinec","Czech Rep","Elementary School Trinec","49.667","18.667","2006-03-23","100","110.5","47.85","47.856"
"Montreal","Canada","St. Monica’s Elementary School","45.467","-73.633","2006-03-23","100","102","45.566666666667","45.567"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-03-13","100","107","46.933333333333","46.937"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-03-16","100","103","45.833333333333","45.847"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-03-20","100","97","44.116666666667","44.128"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-03-24","100","93","42.916666666667","42.923"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-04-03","100","80","38.65","38.66"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-04-07","100","76","37.233333333333","37.235"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-04-14","100","69","34.6","34.606"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-04-18","100","65","33.016666666667","33.024"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-04-20","100","63","32.2","32.211"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-04-21","100","62","31.783333333333","31.799"
"Elizabeth","NJ USA","Westminster Academy","40.683","-74.217","2006-05-01","","","36.4","36.4"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-05-09","100","50","26.55","26.565"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-05-16","100","46","24.7","24.702"
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2006-05-30","100","40.5","22.033333333333","22.048"
"Xewkija","Malta","San Lawrenz","36.033","14.267","2006-06-21","100","18","10.2","10.204"
"Cluj Napoca","Romania","Grup Scolar Forestier","46.767","23.433","2006-06-09","","","23.666666666667","23.667"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2006-06-12","","","21","21.000"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2006-06-16","","","20.75","20.750"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2006-06-19","","","20.666666666667","20.667"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2006-09-21","","","31.283333333333",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2006-09-28","100","123","50.883333333333","50.889"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2006-10-10","100","130","52.416666666667","52.431"
"Arras","France","Ecole Lafontaine","50.283","2.733","2006-12-21","100","300","71.55","71.565"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2006-12-05","100","235","66.933333333333","66.949"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2006-12-11","100","243","67.616666666667","67.632"
"Bar Harbor","Maine USA","Conners Emerson School","44.383","-68.217","2007-03-20","100","94","43.216666666667","43.229"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-03-18","","","32.8",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-03-20","","","29.933333333333",""
"Duluth","Georgia USA","Charles Brant Chesney Elementary","33.983","-84.150","2007-03-21","100","59","30.533333333333","30.541"
"Leadville","Colorado USA","Lake County Middle School","39.250","-106.300","2007-03-19","100","84.3","40.116666666667","40.131"
"Leadville","Colorado USA","Lake County Middle School","39.250","-106.300","2007-03-22","100","77.3","37.7","37.704"
"Madison","Ohio USA","Madison High School","41.700","-81.783","2007-03-20","100","95","43.516666666667","43.531"
"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2007-03-19","100","83.2","39.75","39.76"
"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2007-03-22","100","81.4","39.133333333333","39.146"
"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2007-03-23","100","80.2","38.716666666667","38.73"
"Toszek","Poland","Gimnazjum w Toszku","50.450","18.533","2007-03-22","100","121","50.416666666667","50.428"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-04-26","","","44.633333333333",""
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2007-04-16","14.5","7.1","26.083333333333","26.089"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-05-11","","","50.433333333333",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-05-25","","","52.916666666667",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-05-11","100","64","32.616666666667","32.619"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-05-25","100","57","29.666666666667","29.683"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-05-11","100","49.1","26.15","26.151"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-05-25","100","44.5","23.983333333333","23.989"
"Theux","Belgium","Institut Saint Roch","51.117","17.117","2007-05-25","90","51","29.533333333333","29.539"
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2007-05-11","100","32","17.733333333333","17.745"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-04","","","54.383333333333",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-06","","","54.05",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-08","","","54.766666666667",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-15","","","55.883333333333",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-20","","","55.766666666667",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-06-18","100","50","26.55","26.565"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-06-20","100","50.5","26.783333333333","26.794"
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2007-06-15","100","23","12.95","12.953"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-06-01","100","40.2","21.9","21.900"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-06-15","","","20.75","20.750"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-06-18","","","20.666666666667","20.667"
"Stanford","Kentucky USA","Home school","37.533","-84.667","2007-09-17","100","72","35.75","35.754"
"New York","NY USA","The Dwight School","40.783","-73.967","2007-09-19","100","82","39.35","39.352"
"Chillicothe","Ohio USA","Unioto High School","39.367","-83.017","2007-09-19","100","78","37.95","37.954"
"Warren","Oregon USA","Warren Elementary School","45.817","-122.883","2007-09-21","100","91.5","33.333333333333",""
"Adelaide","Australia","Hamilton Secondary College","-34.900","138.600","2007-09-21","100","-70","33.016666666667","34.992"
"Virginia Beach","Virginia USA","Princess Ann Middle School","36.750","-76.033","2007-09-24","","","37.183333333333",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-09-24","100","98.5","44.566666666667","44.567"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-11-30","100","300","71.55","71.565"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-11-09","","","14.45",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-11-16","","","13.683333333333",""
"Palma de Mallorca","Spain","Lycée français","39.567","-2.633","2007-11-09","100","154","57","57.002"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-11-09","100","180","60.933333333333","60.945"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-11-16","100","194","62.716666666667","62.731"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-11-30","100","224","65.933333333333","65.943"
"Palma de Mallorca","Spain","Lycée français","39.567","-2.633","2007-12-01","100","185","61.6","61.607"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-12-14","100","239","67.283333333333","67.295"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-12-20","100","240","67.366666666667","67.38"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-12-21","100","242","67.533333333333","67.548"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-12-20","100","320","72.633333333333","72.646"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-12-21","100","335","73.366666666667","73.379"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-12-12","","","8.9",""
"Barranha","Portugal","Matosinhos Barranha","41.317","-8.667","2007-12-14","27.3","55.7","63.883333333333","63.889"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-01-16","15","33","65.55","65.556"
"L’Albenc","France","Ecole de la Lèze","45.217","5.433","2008-01-28","12","23.9","63.333333333333","63.339"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-02-20","15","24","57.983333333333","57.995"
